CODE	ALL	TRAIN	TEST	CORRECT	correct%
EE12	209	186.0	23.0	20.0	0.869565217391
EE13	204	179.0	25.0	20.0	0.8
EE99	784	697.0	87.0	83.0	0.954022988506
EE07	247	219.0	28.0	25.0	0.892857142857
EE03	750	679.0	71.0	70.0	0.985915492958
EE11	640	586.0	54.0	53.0	0.981481481481
EE08	232	209.0	23.0	17.0	0.739130434783
EE09	561	502.0	59.0	58.0	0.983050847458
EE06	726	655.0	71.0	67.0	0.943661971831
EE10	487	437.0	50.0	42.0	0.84
EE04	267	238.0	29.0	22.0	0.758620689655
EE05	260	234.0	26.0	23.0	0.884615384615
EE02	2870	2582.0	288.0	287.0	0.996527777778
EE14	129	116.0	13.0	7.0	0.538461538462
EE01	1448	1313.0	135.0	134.0	0.992592592593
