CODE	ALL	TRAIN	TEST	CORRECT	correct%
EA99	358	255.0	103.0	57.0	0.553398058252
EI02	165	118.0	47.0	42.0	0.893617021277
EI03	585	407.0	178.0	167.0	0.938202247191
EI01	144	98.0	46.0	40.0	0.869565217391
EI06	220	158.0	62.0	62.0	1.0
EI07	46	29.0	17.0	17.0	1.0
EI04	650	445.0	205.0	192.0	0.936585365854
EI05	204	155.0	49.0	46.0	0.938775510204
ED10	649	456.0	193.0	178.0	0.922279792746
EI08	78	53.0	25.0	22.0	0.88
EI09	233	170.0	63.0	62.0	0.984126984127
ED11	193	143.0	50.0	37.0	0.74
EA08	797	558.0	239.0	191.0	0.799163179916
EA09	1401	984.0	417.0	394.0	0.9448441247
EA02	616	414.0	202.0	145.0	0.717821782178
EA03	636	444.0	192.0	165.0	0.859375
EA01	417	265.0	152.0	126.0	0.828947368421
EA06	480	333.0	147.0	124.0	0.843537414966
EA07	809	553.0	256.0	220.0	0.859375
EA04	551	370.0	181.0	146.0	0.806629834254
EA05	1001	752.0	249.0	215.0	0.863453815261
EG07	424	332.0	92.0	88.0	0.95652173913
EE99	672	464.0	208.0	159.0	0.764423076923
EE10	359	256.0	103.0	71.0	0.68932038835
EF99	516	363.0	153.0	117.0	0.764705882353
EI11	357	244.0	113.0	101.0	0.893805309735
EI10	79	58.0	21.0	21.0	1.0
EI12	314	225.0	89.0	81.0	0.910112359551
EA15	99	67.0	32.0	27.0	0.84375
EA14	164	118.0	46.0	34.0	0.739130434783
EA11	270	186.0	84.0	83.0	0.988095238095
EA10	830	582.0	248.0	228.0	0.91935483871
EA13	119	90.0	29.0	28.0	0.965517241379
EB99	324	258.0	66.0	45.0	0.681818181818
EA12	92	66.0	26.0	25.0	0.961538461538
EE08	175	135.0	40.0	31.0	0.775
EE09	414	287.0	127.0	89.0	0.700787401575
EE06	519	352.0	167.0	151.0	0.904191616766
EE07	181	125.0	56.0	51.0	0.910714285714
EE04	182	116.0	66.0	55.0	0.833333333333
EE05	191	135.0	56.0	47.0	0.839285714286
EE02	2352	1650.0	702.0	659.0	0.938746438746
EE03	576	402.0	174.0	169.0	0.971264367816
EE01	946	655.0	291.0	269.0	0.92439862543
EB01	956	678.0	278.0	235.0	0.845323741007
EB03	915	641.0	274.0	239.0	0.872262773723
EB02	834	567.0	267.0	248.0	0.928838951311
EB05	195	134.0	61.0	46.0	0.754098360656
EB04	189	137.0	52.0	47.0	0.903846153846
EB07	96	74.0	22.0	11.0	0.5
EB06	304	211.0	93.0	74.0	0.795698924731
EE11	497	365.0	132.0	106.0	0.80303030303
EB08	51	29.0	22.0	12.0	0.545454545455
EE13	148	105.0	43.0	35.0	0.813953488372
EE12	163	104.0	59.0	49.0	0.830508474576
EI99	269	187.0	82.0	62.0	0.756097560976
EE14	88	61.0	27.0	19.0	0.703703703704
EC08	64	49.0	15.0	13.0	0.866666666667
EC09	373	266.0	107.0	101.0	0.943925233645
EC01	422	292.0	130.0	109.0	0.838461538462
EC02	463	325.0	138.0	122.0	0.884057971014
EC03	270	190.0	80.0	53.0	0.6625
EC04	245	170.0	75.0	66.0	0.88
EC05	315	231.0	84.0	68.0	0.809523809524
EC06	196	143.0	53.0	37.0	0.698113207547
EC07	218	147.0	71.0	64.0	0.901408450704
EF05	322	236.0	86.0	76.0	0.883720930233
EF04	153	107.0	46.0	31.0	0.673913043478
EF06	1774	1241.0	533.0	509.0	0.954971857411
EF01	187	133.0	54.0	51.0	0.944444444444
EF03	135	96.0	39.0	35.0	0.897435897436
EF02	179	129.0	50.0	48.0	0.96
EG08	71	54.0	17.0	15.0	0.882352941176
EG09	84	56.0	28.0	28.0	1.0
EG04	224	165.0	59.0	58.0	0.983050847458
EG05	92	66.0	26.0	25.0	0.961538461538
EG06	157	100.0	57.0	55.0	0.964912280702
EC10	25	18.0	7.0	6.0	0.857142857143
EG01	66	46.0	20.0	19.0	0.95
EG02	78	48.0	30.0	26.0	0.866666666667
EG03	72	59.0	13.0	12.0	0.923076923077
ED07	443	295.0	148.0	117.0	0.790540540541
ED06	586	403.0	183.0	156.0	0.852459016393
ED05	690	458.0	232.0	169.0	0.728448275862
ED04	1114	746.0	368.0	339.0	0.921195652174
ED03	612	441.0	171.0	147.0	0.859649122807
ED02	322	228.0	94.0	78.0	0.829787234043
ED01	666	449.0	217.0	183.0	0.84331797235
ED09	342	234.0	108.0	97.0	0.898148148148
ED08	366	269.0	97.0	87.0	0.896907216495
EH10	170	117.0	53.0	49.0	0.924528301887
EH11	162	98.0	64.0	40.0	0.625
EH12	71	52.0	19.0	8.0	0.421052631579
EH13	99	71.0	28.0	19.0	0.678571428571
EH14	54	46.0	8.0	3.0	0.375
EH15	21	15.0	6.0	2.0	0.333333333333
EG99	358	247.0	111.0	97.0	0.873873873874
EC99	59	44.0	15.0	9.0	0.6
ED99	494	358.0	136.0	75.0	0.551470588235
EC11	18	13.0	5.0	5.0	1.0
EH09	222	163.0	59.0	58.0	0.983050847458
EH08	104	70.0	34.0	33.0	0.970588235294
EH03	200	149.0	51.0	49.0	0.960784313725
EH02	602	411.0	191.0	179.0	0.937172774869
EH01	374	266.0	108.0	93.0	0.861111111111
EH07	371	232.0	139.0	124.0	0.892086330935
EH06	153	98.0	55.0	50.0	0.909090909091
EH05	30	24.0	6.0	5.0	0.833333333333
EH04	102	68.0	34.0	33.0	0.970588235294
EH99	133	90.0	43.0	38.0	0.883720930233
EG10	101	80.0	21.0	20.0	0.952380952381
